ada	adamus
dejesus	dean
dejesus	diego
delacrus	delaconcepcion
delaluz	dela
delaluz	delas
delatrinidad	dela
delcarmen	edgar
delcarmen	encarnacion
delcarmen	oscar
delosangeles	delosreyes
delosdolores	eduardo
delosdolores	leonardo
delosdolores	ricardo
delrosario	hilario
diego	dean
diego	desantiago
dionicio	patricio
dionicio	tiburcio
do	dos
donald	gerald
dora	jacoba
dora	leona
doris	willis
dorothy	anthony
dorothy	timothy
douglas	dos
edith	kenneth
edmund	eduard
eduardo	leonardo
eduardo	ricardo
edward	edwin
elias	matias
elias	matthias
eli	josephi
eli	levi
eli	li
elise	emile
elizabeth	jacob
elizabeth	kenneth
eliza	luiza
ella	jacoba
elmer	homer
else	elaine
elsie	elaine
emil	emanuel
emilia	georgia
emilie	addie
emilie	charlie
emilie	willie
emilio	mario
emily	amy
emily	sally
erzsebet	erik
erzsebet	jozsef
esteban	ester
estefana	cayetana
estevan	calvin
estevan	giovanna
esther	esteban
ethel	effie
etta	eszter
etta	etienne
eugenio	emilio
eva	evan
evelyn	evan
faustino	florentino
feliciana	christiana
feliciana	filomena
feliciana	luciana
feliciana	victoriana
feliciano	guillermo
feliciano	luciano
feliciano	victoriano
felix	filomena
ferencz	fermin
fermin	ferentz
fernando	fermin
flora	jacoba
florence	clarence
florence	constance
florentina	valentina
florentino	antonino
franca	dora
franca	jacoba
franca	leona
frances	andres
francesca	domenica
francesco	domenico
frances	delosreyes
francisca	domenica
francisca	rebecca
francisca	rosa
francisca	veronica
francisco	angelo
francisco	domenico
francisco	hugo
franciscus	bernardus
franciscus	carolus
franciscus	cornelius
franciscus	henricus
franciscus	jacobus
franciscus	magnus
franciscus	theodorus
franco	angelo
franco	emilio
franco	leo
frank	clark
frank	frederick
frank	jack
frank	mark
frank	patrick
franz	hanss
franz	justo
franz	luz
frederick	clark
frederick	ferdinand
frederick	jack
gaspar	gottlob
george	emile
georg	ingeborg
georgius	antonius
georgius	julius
giovanni	estevan
gottlieb	gaspar
gregoria	mariam
gregorio	delrosario
gregorio	rosario
guadalupe	guy
gustaf	jph
hans	hiram
hanss	jons
harold	herbert
harriet	bridget
harriet	janet
harry	hiram
helena	christiana
henricus	mamie
henriette	antoinette
henri	jacobi
henri	josephi
henrik	frederik
henry	margery
herbert	hiram
homer	leonor
howard	hattie
hugh	hester
ida	edmond
ida	jph
ignacia	fermin
ignatius	laurentius
imre	ines
irene	ira
isabella	gabriela
jack	clark
jack	mark
jacoba	leona
jacob	archibald
jacob	gottlob
jacobi	eli
jacobi	josephi
jacobi	levi
jacobi	li
jacobus	augustus
jacobus	bernardus
jacobus	carolus
jacobus	marcus
jacobus	paulus
jacobus	wilhelmus
james	jemima
janet	bridget
janet	elisabet
janet	margit
janet	violet
janos	amos
janos	carlos
janos	marcos
jean	jefferson
jeanne	susanne
jennie	jemima
jenny	jemima
jens	blas
jens	delas
jens	hanss
jens	matts
jeremiah	elijah
jesse	jules
jessie	jph
jessie	julie
jesus	jacobus
jesus	jesse
jesus	wilhelmus
joana	joel
joane	joel
joanes	joes
joan	joel
joanna	joel
joannes	carlos
joannes	marcos
joannes	susanne
joanne	susanne
joannis	joel
joao	lorenzo
joao	mateo
joao	matheo
joel	abel
joes	jules
johanna	jacoba
johannes	frances
john	joseph
jonas	jons
jonathan	jonas
jonathan	jons
jons	blas
josefa	estefana
josefa	rafael
josef	christoph
josef	gustaf
josefina	rufina
josef	jessie
josef	ralph
josepha	augusta
josepha	flora
josepha	franca
josepha	jacoba
josepha	laura
josepha	leona
josephi	li
josephine	augustine
josephine	christine
josephine	claudine
josephine	madeleine
josephine	marianne
josephine	rosine
josephus	augustus
josephus	jacobus
josephus	jesus
josephus	marcus
josephus	paulus
josephus	wilhelmus
joshua	margretha
joze	joel
juana	julia
juan	julia
juan	julian
julia	josiah
juliana	christiana
juliana	feliciana
julianna	feliciana
julianna	marianna
julio	emilio
julio	mario
karen	karolina
karin	karolina
karl	karen
karl	karin
kate	mette
katharina	hilaria
kathleen	magdalene
kenneth	ersebeth
kirsten	polly
lars	lajos
latn	lottie
laura	jacoba
laura	lena
laura	vera
lawrence	constance
lena	linda
leo	lester
leo	mario
leonard	bernard
leonard	eduard
leonardo	ricardo
leonard	willard
leslie	lester
levi	josephi
levi	li
lois	lottie
lorenza	hendrika
lorenza	margreta
lorenzo	angelo
lorenzo	mateo
lorenzo	vincenzo
louisa	caisa
lovisa	caisa
lucia	emilia
lucia	georgia
lucille	estelle
ludwig	matthew
luise	luz
luis	luz
luiza	luz
luiz	luz
mae	annae
mae	elise
magdalena	feliciana
maggie	olga
magnus	bernardus
magnus	theodorus
maja	mariam
manuela	gabriela
manuela	margreta
manuel	marian
manuel	marianne
marcela	carmela
marcelino	bernardino
marcelino	cayetano
marcelino	faustino
marcelino	florentino
marcelino	victoriano
marcos	amos
maren	carmen
maren	christen
maren	vernon
maren	willem
margaret	bridget
margaret	elisabet
margaretha	bertha
margaret	janet
margaret	violet
margarida	candida
margarita	elsa
margreta	narcisa
mariae	maja
maria	gregoria
maria	maja
mariana	elena
marianna	feliciana
marianne	augustine
marianne	claudine
mariano	bruno
mariano	max
mariano	victoriano
marie	addie
marie	amy
marie	annie
mari	eli
marie	willie
mari	jacobi
mari	josephi
mari	levi
mari	li
marina	angelina
marina	antonina
marina	augustina
marina	cristina
marion	casimiro
mark	clark
martha	agatha
martha	margaretha
martina	agustina
martina	angelina
martina	augustina
martina	cristina
martin	alvin
martin	augustin
martin	margit
mary	anthony
mateo	lorenso
matheo	lorenso
mathias	elias
matts	hanss
melchor	leonor
michaela	mc
michel	joel
miguel	abigail
mildred	merced
minnie	ines
myrtle	estelle
nathan	ivan
nellie	nelson
nicholas	michaelis
nicolaus	magnus
nicolaus	theodorus
niels	jacques
niels	nieves
nieves	sylvester
nils	nieves
ole	oliver
olive	owen
oscar	edgar
oscar	encarnacion
otto	hugo
patricia	dionicia
patricia	ignacia
patrick	jack
paula	marta
paulino	antonino
paulus	augustus
paulus	wilhelmus
pearl	pehr
pearl	per
pedro	angelo
pedro	franco
pedro	leo
peter	teresa
petra	marta
petrus	martinus
rachel	rasmus
ralph	christoph
ralph	gustaf
ralph	pal
ramona	ilona
rasmus	roza
rebecca	domenica
rebecca	francesca
rebecca	veronica
regina	reginald
rosa	rasmus
rosario	hilario
rose	rasmus
rosina	angelina
rosina	antonina
rosina	augustina
rosina	marina
rosine	claudine
rudolf	rudolph
sabina	dionicia
salome	bartolome
salvador	bernardo
salvador	delosdolores
salvador	eduardo
salvador	leonardo
salvador	ricardo
salvatore	silvestre
sam	smith
samuel	smith
santiago	santos
sara	soren
sebastiana	feliciana
sebastiana	victoriana
sophia	phebe
sophia	sadie
sophie	sadie
sophie	soren
soren	lottie
soren	sadie
stephanus	bernardus
stephanus	carolus
stephanus	cornelius
stephanus	magnus
stephanus	martinus
stina	steven
susannah	elijah
susan	soren
sven	steven
teresa	fermin
theodore	alexandre
theodore	salvatore
theodore	silvestre
theodor	homer
theodor	leonor
theodorus	bernardus
trinidad	brigida
trinidad	candida
trinidad	margarida
unknown	victoriano
valentin	carin
veronica	domenica
veronica	francesca
vicente	clemente
victoriana	luciana
victoriano	luciano
victor	theodor
vincenzo	florencio
viola	angelo
wayne	frederik
wayne	washington
wilhelmina	augustina
wilhelmina	cristina
wilhelmine	josephine
willie	charlie
willie	rosalie
ygnacio	delaencarnacion
ysabel	cristobal
ysidro	leandro
